package,pqe,tier,location
64000,0,top,syd
63000,1,top,syd
85000,2,top,syd
100000,3,top,syd
110000,4,top,syd
135000,5,top,syd
155000,6,top,syd
60000,0,mid,syd
65000,1,mid,syd
78000,2,mid,syd
90000,3,mid,syd
100000,4,mid,syd
115000,5,mid,syd
131000,6,mid,syd
50000,0,small,syd
57000,1,small,syd
66000,2,small,syd
75000,3,small,syd
85000,4,small,syd
93000,5,small,syd
110000,6,small,syd
80000,1,top,syd
90000,2,top,syd
110000,3,top,syd
135000,4,top,syd
147500,5,top,syd
165000,6,top,syd
72500,0,top,syd
79750,1,top,syd
95000,2,top,syd
106000,3,top,syd
126000,4,top,syd
81250,0,top,syd
90000,1,top,syd
104000,2,top,syd
117500,3,top,syd
137500,4,top,syd
152500,5,top,syd
55000,0,top,melb
64000,0,top,melb
75000,1,top,melb
85000,2,top,melb
95000,3,top,melb
105000,4,top,melb
125000,5,top,melb
140000,6,top,melb
62000,0,top,bris
68000,1,top,bris
78000,2,top,bris
87000,3,top,bris
105000,4,top,bris
119000,5,top,bris
128000,6,top,bris
55000,0,top,per
62000,1,top,per
70000,2,top,per
78000,3,top,per
88000,4,top,per
105000,5,top,per
119000,6,top,per
128000,7,top,per
51000,0,mid,melb
55000,1,mid,melb
64000,2,mid,melb
73000,3,mid,melb
82000,4,mid,melb
100000,5,mid,melb
110000,6,mid,melb
125000,7,mid,melb
51000,0,mid,bris
55000,1,mid,bris
64000,2,mid,bris
73000,3,mid,bris
84000,4,mid,bris
91000,5,mid,bris
105000,6,mid,bris
119000,7,mid,bris
51000,0,mid,per
55000,1,mid,per
64000,2,mid,per
73000,3,mid,per
84000,4,mid,per
95000,5,mid,per
105000,6,mid,per
119000,7,mid,per
51000,0,small,melb
46000,1,small,melb
50000,2,small,melb
60000,3,small,melb
75000,4,small,melb
75000,5,small,melb
90000,6,small,melb
105000,7,small,melb
51000,0,small,bris
46000,1,small,bris
50000,2,small,bris
59000,3,small,bris
73000,4,small,bris
75000,5,small,bris
83000,6,small,bris
96000,7,small,bris
